unit_id,goal_actual,mes_classificado,name,tamanho,condominio,chave,mes,receita_projetada,receita_mensal_real,ocupacao,dias,HOA,Property Management,Utilities,dias_ocupados,adr,revpar,commission_fee_20,despesas_outras_anuais,despesas_anuais,lucro_mensal
475127,3144.0,07.Jul,1133 DL - Chic pet-friendly 3BR Townhome: 8 Guests,3 BDR,CHAMPIONS GATE,CHAMPIONS GATE 3 BDR,Jul,3144.0,3144.0,0.8,31,6000.0,1800.0,5412.0,24.8,126.77419354838709,101.41935483870968,6498.6,13212.0,19710.6,1501.45
475127,2648.0,08.Aug,1133 DL - Chic pet-friendly 3BR Townhome: 8 Guests,3 BDR,CHAMPIONS GATE,CHAMPIONS GATE 3 BDR,Aug,2648.0,2648.0,0.7,31,6000.0,1800.0,5412.0,21.7,122.02764976958525,85.41935483870968,6498.6,13212.0,19710.6,1005.45
475127,1650.0,09.Sep,1133 DL - Chic pet-friendly 3BR Townhome: 8 Guests,3 BDR,CHAMPIONS GATE,CHAMPIONS GATE 3 BDR,Sep,1650.0,1650.0,0.6,30,6000.0,1800.0,5412.0,18.0,91.66666666666667,55.0,6498.6,13212.0,19710.6,7.4500000000000455
475127,2418.0,10.Oct,1133 DL - Chic pet-friendly 3BR Townhome: 8 Guests,3 BDR,CHAMPIONS GATE,CHAMPIONS GATE 3 BDR,Oct,2418.0,2418.0,0.7,31,6000.0,1800.0,5412.0,21.7,111.42857142857143,78.0,6498.6,13212.0,19710.6,775.45
475127,2526.0,11.Nov,1133 DL - Chic pet-friendly 3BR Townhome: 8 Guests,3 BDR,CHAMPIONS GATE,CHAMPIONS GATE 3 BDR,Nov,2526.0,2526.0,0.7,30,6000.0,1800.0,5412.0,21.0,120.28571428571429,84.2,6498.6,13212.0,19710.6,883.45
475127,3518.0,12.Dec,1133 DL - Chic pet-friendly 3BR Townhome: 8 Guests,3 BDR,CHAMPIONS GATE,CHAMPIONS GATE 3 BDR,Dec,3518.0,3518.0,0.7,31,6000.0,1800.0,5412.0,21.7,162.11981566820276,113.48387096774194,6498.6,13212.0,19710.6,1875.45
476863,2260.0,01.Jan,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Jan,2260.0,2260.0,0.75,31,6000.0,1800.0,4248.0,23.25,97.20430107526882,72.90322580645162,6020.8,12048.0,18068.8,754.2666666666667
476863,2072.0,02.Feb,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Feb,2072.0,2072.0,0.75,28,6000.0,1800.0,4248.0,21.0,98.66666666666667,74.0,6020.8,12048.0,18068.8,566.2666666666667
476863,3020.0,03.Mar,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Mar,3020.0,3020.0,0.8,31,6000.0,1800.0,4248.0,24.8,121.77419354838709,97.41935483870968,6020.8,12048.0,18068.8,1514.2666666666667
476863,3226.0,04.Apr,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Apr,3226.0,3226.0,0.8,30,6000.0,1800.0,4248.0,24.0,134.41666666666666,107.53333333333333,6020.8,12048.0,18068.8,1720.2666666666667
